course_number,course_name,credits,description,term,instructor,class time,availability,prerequisites,career tags,instruction mode
CSCI-A 110,INTRODUCTION TO COMPUTERS AND COMPUTING,3.0,"Basic principles of computers and software. Social and lifestyle effects of information technology. Emphasis on problem solving techniques. Productivity software skills are taught using real-world projects.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,0,[],"['IT Support Specialist', 'Tech Consultant']",Hybrid
CSCI-A 111,A SURVEY OF COMPUTERS AND COMPUTING,1.5,"Survey of computing concepts, with emphasis on problem-solving techniques. Experience in a variety of popular applications software for tasks such as word processing, Web browsing, spreadsheet calculations, and databases.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,6,[],"['IT Support Specialist', 'Tech Consultant']",In Person
CSCI-A 112,PROGRAMMING CONCEPTS,1.5,"Introduction to programming for users of computer systems. Emphasis on problem solving techniques. Lecture and laboratory. Half semester.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,2,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-A 201,INTRODUCTION TO PROGRAMMING I,4.0,"Fundamental programming constructs, including loops, arrays, classes and files. General problem-solving techniques. Emphasis on modular programming, user-interface design, and developing good programming style. Not intended for computer science majors.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,8,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-A 202,INTRODUCTION TO PROGRAMMING II,4.0,"Advanced programming techniques: user-defined functions and types, recursion vs iteration, parameter-passing mechanisms; Classic abstract data types and algorithms. Programming style. Object-oriented programming. Web programming.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,2,['CSCI-A 201'],"['Software Developer', 'Backend Engineer']",Online
CSCI-A 216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,3.0,"In-depth introduction to the technologies of digital hardware and software relevant to efficient multimedia communication methods. Lectures focus on computational foundations, underlying concepts, and digital methods. Laboratory provides direct experience with concepts presented in lecture, using latest available digital tools to create direct and web-based multimedia content. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Online
CSCI-A 290,TOOLS FOR COMPUTING,1.0,"Exploration of topics in computing. Common topics include tools for power users.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,3,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-A 310,PROBLEM SOLVING USING DATA,3.0,"This course introduces algorithms and data structures for solving real world problems using data. Topics include: searching and sorting, basic data structures (heaps, hash tables, binary search and splay trees etc.), concepts of algorithm design (e.g., divide-and-conquer, dynamic programming), graph algorithms and clustering.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,6,[],"['Data Analyst', 'Data Scientist']",Hybrid
CSCI-A 321,COMPUTING TOOLS FOR SCIENTIFIC RESEARCH,4.0,"Introduction to computer-based tools useful for analysis and understanding of scientific data. Basic methods of computation, data processing, and display in systems such as Matlab combined with elementary practical C/C++ programming. Techniques to support customized scientific research tasks, with particular emphasis on biological, neural, and behavioral sciences. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,3,[],"['IT Support Specialist', 'Tech Consultant']",In Person
CSCI-A 338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,4.0,"Introduction to network principles and current network technology, both hardware and software. Network administration tools techniques. Laboratory provides practical experience.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,6,[],['Technology Generalist'],Online
CSCI-A 346,USER-INTERFACE PROGRAMMING,3.0,"Learn to prototype and build graphical user interfaces for computer applications. Contemporary software design methodology. Students design and implement prototype interfaces to applications provided by the instructor. Extensive use will be made of both commercial and experimental software tools.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,TR 1:00PM–2:15PM,9,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-A 348,MASTERING THE WORLD WIDE WEB,3.0,"Project-oriented course leading to ability to maintain a fully functional web site. Topics include internet network protocols and web programming, server administration, protocols, site design, and searching and indexing technologies.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MWF 9:00AM–10:15AM,8,[],['Technology Generalist'],In Person
CSCI-A 521,COMPUTING TOOLS FOR SCIENTIFIC RESEARCH,3.0,"Introduction to computer-based tools useful for analysis and understanding of scientific data. Basic methods of computation, data processing, and display in systems such as Matlab combined with elementary practical C/C++ programming. Techniques to support customized scientific research tasks, with particular emphasis on biological, neural, and behavioral sciences. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,7,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-A 538,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,3.0,"Introduction to network principles and current network technology, both hardware and software. Network administration tools and techniques. Laboratory provides practical experience.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,5,[],['Technology Generalist'],Online
CSCI-A 541,COMPUTING AND TECHNOLOGY BOOTCAMP,3.0,"A high-level introduction to the many information technologies that underlie modern society for students with non-technical backgrounds. Examples include basic ideas in computing, networking, embedded systems, GPS, SCADA , algorithms and machine learning. After completion, students should be able to partake in many high-level discussions with technical leads.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,3,[],"['IT Support Specialist', 'Tech Consultant']",Hybrid
CSCI-A 542,TECHNICAL FOUNDATIONS OF CYBERSECURITY,3.0,"This course will enable students to build a technical foundation in cybersecurity by introducing concepts in secure systems design, cryptography, operating systems security, software security, and computer network security. The course will focus on developing a theoretical understanding of cybersecurity concepts and the ability to apply these concepts in practice.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,7,[],['Technology Generalist'],In Person
CSCI-A 548,MASTERING THE WORLD-WIDE WEB,3.0,"Project-oriented course leading to ability to maintain a web site with full functionality. Topics include background on internet network protocols and programming, web server administration, advanced web design and authoring, web protocols, interfacing services into the web.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,10,[],['Technology Generalist'],Online
CSCI-A 581,INTRODUCTION TO COMPUTERS AND PROGRAMMING,3.0,"This course is an introduction, broadly, to algorithmic thinking and, specifically, to programming. It teaches the basics of programming using real world applications in natural, physical and social sciences. Students will develop ability to program by identifying problems in real world and then creating a program that solves the problem.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,10,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-A 590,TOPICS IN PROGRAMMING,1.0,"Eight-week to sixteen-week course designed to provide foundations for using modern programming tools for applications and web development.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,10,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-A 591,INTRODUCTION TO COMPUTER SCIENCE,3.0,"A first course in computer science for those intending to take advanced computer science courses. Introduction to programming and to algorithm design and analysis. Using the Scheme programming language, the course covers several programming paradigms. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,4,[],['Technology Generalist'],In Person
CSCI-A 592,INTRODUCTION TO SOFTWARE SYSTEMS,3.0,"Design of computer software systems and introduction to programming. Topics include the C++ programming language and its data structure facilities: building and maintaining large projects: shell tools and system calls. Introduction to object-oriented programming. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,4,[],['Technology Generalist'],In Person
CSCI-A 593,COMPUTER STRUCTURES,3.0,"Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed, in addition to general principles of hardware organization and low-level software systems. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,10,[],['Technology Generalist'],Hybrid
CSCI-A 594,DATA STRUCTURES,3.0,"Systematic study of data structures encountered in computing problems; structure and use of storage media; methods of representing structured data; and techniques for operating on data structures. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,9,[],"['Data Analyst', 'Data Scientist']",Online
CSCI-A 595,FUNDAMENTALS OF COMPUTING THEORY,3.0,"Fundamentals of formal language theory, computation models and computability, the limits of computability and feasibility, and program verification.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,2,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-A 596,PROGRAMMING LANGUAGES,3.0,"Systematic approach to programming languages. Relationships among languages, properties and features of languages, and the computer environment necessary to use languages. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,8,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-A 597,INTRODUCTION TO PROGRAMMING I,3.0,"Fundamental programming constructs, including loops, arrays, classes, and files. General problem-solving techniques. Emphasis on modular programming, user-interface design, and developing good programming style. Not intended for computer science majors.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,0,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-A 598,INTRODUCTION TO PROGRAMMING II,1.5,"Advanced programming techniques: user-defined functions and types, recursion vs. iteration, parameter-passing mechanisms. Classic abstract data types and algorithms. Programming style. Object-oriented programming. Web programming. May be taught full term or 8 weeks.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,5,['CSCI-A 201'],"['Software Developer', 'Backend Engineer']",In Person
CSCI-B 351,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3.0,"A survey of techniques for machine intelligence and their relation to human intelligence. Topics include modeling techniques, neural networks, problem-solving methods, heuristics, search, logic, knowledge representation, machine learning, and production systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,1,[],['Technology Generalist'],In Person
CSCI-B 355,AUTONOMOUS ROBOTICS,3.0,"Introduction to the design, construction, and control of autonomous mobile robots. This course covers basic mechanics, electronics, and programming for robotics, as well as the applications of robots in cognitive science.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,1,[],['Technology Generalist'],Online
CSCI-B 363,BIOINFORMATICS ALGORITHMS,4.0,"The course will introduce algorithms for addressing real-world biological questions. For each topic, we will start with an important biological question and gradually present algorithms to answer this question. The course will also discuss the strategies to formulate an appropriate computation problem from a biological question to motivate algorithmic thinking.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],In Person
CSCI-B 365,INTRODUCTION TO DATA ANALYSIS AND MINING,3.0,"The course objective is to study computational aspects of discovering patterns and relationships in large data. This course is designed to introduce fundamental concepts of data mining and provide hands-on experience in data collection, preprocessing, analysis, clustering and prediction.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,5,[],"['Data Analyst', 'Data Scientist']",Online
CSCI-B 392,COMPETITIVE PROGRAMMING,3.0,"This course focuses on training students to prepare for programming contests (such as the ACM International Collegiate Programming Contest). The students will learn to design time and space efficient algorithms to solve challenging contest problems, and produce bug-free code under the pressure of time in contest.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,4,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-B 401,FUNDAMENTALS OF COMPUTING THEORY,3.0,"Fundamentals of formal language theory, computation models and computability, the limits of computability and feasibility, and program verification.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,TR 1:00PM–2:15PM,9,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-B 403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,3.0,"Algorithm design methodology. General methods for analysis of algorithms. Analysis of the performance of specific algorithms, such as those for searching and sorting.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,0,[],['Technology Generalist'],Hybrid
CSCI-B 405,APPLIED ALGORITHMS,3.0,"The course will introduce basic concepts and techniques for algorithmic design and analysis. The course will emphasize key mathematical ideas in efficient algorithms. The course will develop algorithmic thinking critical for formulating computational problems for real-world applications. Prior programming experience in C/C++, Java or Python is expected.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,6,[],['Technology Generalist'],Hybrid
CSCI-B 430,SECURITY FOR NETWORKED SYSTEMS,3.0,"This course is an extensive survey of network security. The course materials cover threats to information confidentiality, integrity, and availability in different internet layers, and defense mechanisms that control these threats. The course also provides a necessary foundation on network security, such as cryptographic, primitives/protocols, authentication, authorization and access control technologies; and hands-on experiences through programming assignments and course projects.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,2,[],['Technology Generalist'],Hybrid
CSCI-B 433,SYSTEMS & PROTOCOL SECURITY & INFORMATION ASSURANCE,3.0,"This class covers the fundamentals of computer security by looking at how things can go wrong, and how people can abuse the system. This is a matter of creative cheating; to find loopholes and exploit them. After students learn how to attack the system, it is possible to propose ways to make the system secure. Students will gain a basic overview of existing security problems and be exposed to methods that can be used to secure against such problems. The course should be taken by any one designing, selecting, or using applications in which security or privacy plays a role.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,0,[],['Technology Generalist'],Hybrid
